"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US36005042100","Census Tract 421, Bronx County, New York","2130","129","36.9","8.3","18.0","6.4","0.0","1.4","13.7","4.0","0.0","1.4","27.8","7.4","3.5","2.2","53.1","5.3","17.4","5.3","3.2","3.0","41.6","6.9","37.0","7.0","18.1","4.4","1233","173","53.2","9.4","46.8","9.4","39.3","10.7","48.3","11.9","12.5","6.4","897","182","46.0","11.5","38.2","12.2","7.8","6.6","54.0","11.5","48.5","11.4","5.5","6.9","40.8","(X)","47.7","(X)","30.0","(X)","39231","17434","51188","31708","35114","18964","-","**","59493","5248","-","**","27682","17221","50417","46972","35750","18442","60357","23543","35685","34908","58640","6324","39495","16758","24781","4265","39255","18001","40750","26945","38508","20251","57880","24021","28054","8667","52317","6665","36476","19459","23083","24624","23417","24212","12283","51467","55758","21152","51402","28903","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005042200","Census Tract 422, Bronx County, New York","1044","81","12.4","6.0","83.2","5.7","0.0","2.8","0.0","2.8","0.0","2.8","1.2","2.1","3.2","2.9","13.4","5.5","5.1","3.5","0.0","2.8","31.7","9.4","42.9","8.9","25.4","6.3","699","125","43.2","12.3","56.8","12.3","57.8","12.0","34.8","12.2","7.4","7.3","345","118","73.6","18.5","61.4","16.8","12.2","8.3","26.4","18.5","23.2","18.1","3.2","4.8","40.0","(X)","36.6","(X)","41.7","(X)","52656","6234","51914","43593","53320","6641","-","**","-","**","-","**","-","**","61146","85638","56250","62894","87721","148269","-","**","52092","7991","60769","8971","44861","17482","54258","10839","50543","12660","78750","41943","60000","22512","53125","19928","51250","12249","36417","8366","31250","12419","22250","11897","63750","79462","61635","9996","61987","1778","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005042300","Census Tract 423, Bronx County, New York","1462","44","32.1","6.5","21.0","5.8","0.0","2.0","7.5","2.6","0.0","2.0","34.4","7.5","5.0","3.4","53.6","5.9","20.9","5.0","1.2","1.4","47.9","6.6","38.8","6.5","12.2","3.4","1006","101","57.0","7.5","43.0","7.5","49.6","10.7","41.6","10.5","8.8","4.9","456","97","68.4","13.4","57.5","15.4","11.0","9.7","31.6","13.4","21.5","10.3","10.1","9.6","34.4","(X)","34.9","(X)","33.3","(X)","40151","8902","36250","26066","40703","18279","-","**","62772","77734","-","**","40922","8718","11583","15313","33370","15582","32500","28785","-","**","41299","4314","32813","41061","27955","14695","42262","14457","22563","12754","70729","27635","68750","6767","31250","16730","29250","64996","33043","15221","34783","13663","40100","23249","34022","8738","15278","22893","15278","16625","51250","119863","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005042400","Census Tract 424, Bronx County, New York","830","67","9.6","6.7","80.1","7.8","5.5","5.7","2.5","2.1","0.0","3.5","2.2","3.4","0.0","3.5","11.3","7.1","1.2","1.5","6.9","5.7","28.8","8.9","42.2","8.8","22.2","6.8","645","92","57.1","9.0","42.9","9.0","38.1","12.3","46.5","12.8","15.3","8.5","185","64","40.5","22.8","34.1","20.9","6.5","8.1","59.5","22.8","45.9","21.8","13.5","13.2","35.7","(X)","38.8","(X)","14.6","(X)","57500","15801","31944","130060","60313","10819","-","**","13958","366386","-","**","-","**","-","**","28611","50479","-","**","2,500-","***","58173","20531","66818","16076","33448","28252","60063","12329","53382","17473","67321","20585","78750","30152","50833","35399","38512","49432","26023","13031","16838","16845","23125","47099","-","**","31111","20029","25568","37971","33472","52624","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005042500","Census Tract 425, Bronx County, New York","2172","100","29.9","8.1","15.9","7.0","2.3","2.3","3.9","1.6","0.0","1.4","42.3","9.0","5.7","3.7","60.7","7.5","18.8","6.3","2.2","2.2","51.8","8.8","36.5","7.9","9.5","4.8","1368","178","69.4","10.1","30.6","10.1","43.8","10.9","39.5","12.9","16.7","10.3","804","176","38.7","13.2","34.6","13.1","4.1","5.0","61.3","13.2","56.6","14.2","4.7","5.7","36.1","(X)","40.9","(X)","23.8","(X)","35392","11514","27045","17449","41563","30921","-","**","19900","33524","-","**","29519","19674","38382","6817","35644","17994","39375","24274","70588","131626","37461","19207","36091","3621","18007","8326","35280","8441","27125","14860","47500","34437","36766","10283","20724","12154","39783","27495","20867","9945","32578","30442","21357","22929","-","**","19375","10435","18733","6038","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005042600","Census Tract 426, Bronx County, New York","2048","117","3.6","3.4","89.3","4.4","0.0","1.5","2.9","3.1","0.0","1.5","4.2","3.9","0.0","1.5","7.3","3.3","1.1","1.4","0.0","1.5","33.2","7.2","45.0","8.3","21.9","6.1","1785","160","43.1","9.3","56.9","9.3","52.8","8.3","30.5","8.3","16.6","7.4","263","106","94.7","8.2","77.9","19.8","16.7","18.3","5.3","8.2","5.3","8.2","0.0","10.8","42.8","(X)","37.9","(X)","47.9","(X)","61250","21715","73500","5674","52614","21635","-","**","94583","352211","-","**","-","**","-","**","73938","74370","-","**","-","**","39837","35039","77807","14113","42069","20968","62067","21051","66509","22845","60385","33879","101979","18378","38665","13615","22234","10811","26058","30663","27404","33581","16620","18896","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005042800","Census Tract 428, Bronx County, New York","696","39","8.5","4.4","78.6","6.1","0.0","4.2","1.7","2.7","0.0","4.2","6.9","5.6","4.3","3.9","10.9","5.5","5.7","4.1","1.1","1.8","24.3","8.3","59.3","8.2","15.2","5.8","520","62","44.4","11.4","55.6","11.4","61.5","9.8","23.1","7.2","15.4","7.6","176","55","84.7","12.4","77.8","14.6","6.8","8.0","15.3","12.4","9.1","7.9","6.3","9.8","27.4","(X)","26.0","(X)","31.8","(X)","61515","4525","26458","66143","63417","7627","-","**","-","**","-","**","100000","102043","-","**","64500","38874","14167","9402","-","**","61908","7834","63750","10647","44000","32933","68415","8467","80288","37081","62171","7802","97917","14828","52000","19716","55455","16981","38036","20627","31806","15643","30139","11836","78500","28829","63750","64341","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005042901","Census Tract 429.01, Bronx County, New York","1171","75","30.2","8.7","17.3","6.1","0.0","2.5","11.6","5.3","0.0","2.5","40.8","9.3","0.0","2.5","51.5","9.2","22.0","7.2","0.0","2.5","44.4","10.0","44.1","10.0","11.5","4.8","817","119","53.6","12.5","46.4","12.5","45.3","11.4","43.7","12.5","11.0","6.9","354","104","54.5","19.2","54.5","19.2","0.0","8.1","45.5","19.2","41.2","20.0","4.2","5.7","38.3","(X)","44.7","(X)","23.7","(X)","37317","5890","52500","8998","49539","20347","-","**","18214","24726","-","**","14383","17931","-","**","14986","29613","56136","8172","-","**","37704","10880","26100","24841","47321","32541","37270","10731","28663","10347","48914","11167","53073","3334","14816","13545","48077","43411","35192","23268","22208","50353","22208","50353","-","**","36106","17473","35385","23402","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005042902","Census Tract 429.02, Bronx County, New York","1495","65","21.9","6.2","34.1","6.4","2.9","2.7","4.1","2.9","0.0","2.0","29.7","7.2","7.3","3.9","51.6","7.8","9.9","4.6","7.9","4.7","48.9","7.0","33.0","6.1","10.2","3.7","883","119","72.3","8.2","27.7","8.2","45.1","10.8","47.3","10.9","7.6","6.1","612","117","63.6","10.1","56.2","11.8","7.4","6.8","36.4","10.1","33.7","10.5","2.8","3.1","32.2","(X)","38.1","(X)","23.7","(X)","26823","7491","28446","3888","31985","11927","42850","36456","28348","3964","-","**","14779","6870","14844","54353","24402","8253","19402","22297","21250","35364","33651","9128","19152","7152","18649","8460","36993","11901","37891","16001","36012","21165","55221","15973","21711","12115","24107","22037","16765","4876","14187","4260","13294","2755","28162","14974","30184","23289","30809","17007","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
