"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US36005038100","Census Tract 381, Bronx County, New York","2230","95","15.0","5.3","31.4","6.7","0.0","1.3","1.3","1.5","0.0","1.3","50.0","7.7","2.3","2.2","74.1","5.7","0.4","0.7","1.4","2.1","37.9","6.0","42.1","6.9","18.6","5.3","1487","170","56.4","7.7","43.6","7.7","38.9","8.7","41.2","10.7","20.0","9.2","743","182","56.0","15.4","52.2","15.8","3.8","4.8","44.0","15.4","33.8","14.8","10.2","9.2","36.0","(X)","38.9","(X)","30.1","(X)","25891","6050","27891","17942","39875","11256","-","**","-","**","-","**","21501","2741","(X)","(X)","22007","2794","-","**","-","**","31319","8380","25833","19477","20166","2783","34572","7630","29931","11131","40398","12132","43846","19357","21394","2843","38375","16734","15755","3098","15236","9370","11667","9601","-","**","17204","8885","14712","5307","32436","24409","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005038200","Census Tract 382, Bronx County, New York","837","50","7.8","3.2","74.8","6.4","0.0","3.5","1.1","1.4","0.0","3.5","16.4","6.4","0.0","3.5","23.9","6.0","1.8","2.0","1.7","1.9","34.1","8.4","48.6","9.0","15.7","5.5","640","64","51.9","8.5","48.1","8.5","42.2","9.9","53.0","9.6","4.8","3.1","197","57","40.1","16.9","40.1","16.9","0.0","14.1","59.9","16.9","59.9","16.9","0.0","14.1","53.8","(X)","53.9","(X)","47.2","(X)","46953","12550","17875","9905","54375","14102","-","**","-","**","-","**","33646","33292","-","**","(X)","(X)","-","**","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","52000","16599","44297","9182","62000","13358","(X)","(X)","(X)","(X)","(X)","(X)","35729","6982","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005038301","Census Tract 383.01, Bronx County, New York","1509","71","9.8","5.0","33.0","8.6","0.5","0.8","0.0","2.0","1.3","2.1","49.4","8.8","5.9","5.0","68.2","6.8","2.3","3.5","3.9","3.1","45.9","7.3","40.2","6.5","10.0","3.8","962","128","57.0","9.9","43.0","9.9","34.3","10.1","55.1","10.1","10.6","6.8","547","136","65.6","13.9","65.6","13.9","0.0","5.3","34.4","13.9","29.8","13.2","4.6","5.8","35.3","(X)","35.2","(X)","35.5","(X)","26295","5626","(X)","(X)","30833","28725","-","**","-","**","-","**","23194","11918","22682","9627","23390","5876","-","**","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28000","6578","23112","6559","29864","19168","(X)","(X)","(X)","(X)","(X)","(X)","17094","14761","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005038302","Census Tract 383.02, Bronx County, New York","1883","74","5.2","2.8","53.9","5.6","0.6","1.1","0.0","1.6","0.0","1.6","38.2","5.8","2.1","1.8","50.2","4.7","0.4","0.7","2.5","2.1","39.1","5.4","44.3","6.2","14.0","4.2","1361","124","53.2","6.9","46.8","6.9","29.5","7.8","58.6","9.2","11.8","6.2","522","111","52.7","13.6","49.2","13.3","3.4","5.3","47.3","13.6","47.3","13.6","0.0","5.6","39.4","(X)","43.4","(X)","27.8","(X)","22917","9607","16442","1224","26836","10557","-","**","-","**","-","**","20924","11772","(X)","(X)","19881","7205","-","**","32902","28619","20518","6793","30563","10227","25469","14664","26719","12281","20091","8134","35505","9536","32574","4827","20170","9014","33942","26629","15893","9946","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005038500","Census Tract 385, Bronx County, New York","1607","81","7.3","3.6","32.5","5.9","1.1","1.7","0.0","1.8","0.0","1.8","57.6","5.8","1.5","1.6","67.9","5.6","1.1","1.6","8.8","5.0","42.2","7.6","32.4","7.1","16.7","4.9","1040","115","71.5","7.9","28.5","7.9","43.2","9.3","47.4","8.9","9.4","6.0","567","111","55.2","13.1","51.7","13.1","3.5","4.1","44.8","13.1","39.0","12.6","5.8","5.8","31.5","(X)","33.8","(X)","21.9","(X)","20229","3506","23750","12671","19154","2599","-","**","-","**","-","**","21310","5392","(X)","(X)","20637","4792","-","**","17560","13781","23491","4568","18788","7568","14537","9772","20240","4304","22230","5902","17813","8202","(X)","(X)","(X)","(X)","(X)","(X)","14933","5644","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005038600","Census Tract 386, Bronx County, New York","2489","155","3.7","3.6","84.5","6.2","0.0","1.2","1.8","2.4","1.0","1.7","8.1","4.2","0.9","1.4","11.5","3.7","3.7","3.6","2.3","2.9","33.5","7.8","49.6","9.0","14.6","5.2","1719","224","49.0","12.9","51.0","12.9","47.8","11.1","41.9","10.5","10.3","7.8","770","218","66.2","17.4","61.4","18.1","4.8","6.8","33.8","17.4","29.1","17.4","4.7","5.4","46.9","(X)","49.6","(X)","32.7","(X)","54904","15154","(X)","(X)","60665","13927","-","**","-","**","-","**","37772","35422","-","**","(X)","(X)","(X)","(X)","-","**","39961","12972","93984","41993","26711","12220","62026","20583","69766","28887","59267","22931","104015","15548","41053","14722","46674","38552","25762","6843","17440","14632","17351","14152","-","**","60269","45551","60346","38022","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005038700","Census Tract 387, Bronx County, New York","1176","88","29.7","8.6","25.3","7.3","0.0","2.5","3.7","2.5","0.0","2.5","36.1","7.2","5.3","5.3","56.2","7.5","14.7","5.9","14.7","5.3","49.5","8.5","26.1","6.8","9.7","4.2","703","124","62.7","11.2","37.3","11.2","36.4","11.2","48.2","10.4","15.4","7.1","473","105","36.8","13.9","26.2","12.6","10.6","7.5","63.2","13.9","46.1","14.1","17.1","9.8","39.2","(X)","42.0","(X)","29.4","(X)","19362","4876","22875","7026","21111","7548","-","**","(X)","(X)","-","**","12094","6818","42847","39435","16908","5300","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21157","7725","16563","12962","23750","18594","(X)","(X)","(X)","(X)","(X)","(X)","16074","2228","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005038800","Census Tract 388, Bronx County, New York","817","54","1.0","1.8","82.6","7.5","0.0","3.6","0.0","3.6","0.0","3.6","13.6","6.7","2.8","3.2","19.2","7.6","0.0","3.6","1.5","1.9","26.1","8.9","47.6","9.4","24.8","5.3","598","71","45.3","8.9","54.7","8.9","30.1","10.1","59.5","9.4","10.4","7.6","219","65","59.4","19.4","53.4","19.4","5.9","9.2","40.6","19.4","40.6","19.4","0.0","12.8","54.6","(X)","62.7","(X)","32.4","(X)","51298","13976","-","**","49185","16633","-","**","-","**","-","**","86172","44643","-","**","64911","56381","-","**","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","64191","8789","39961","22302","71359","9746","(X)","(X)","(X)","(X)","(X)","(X)","26042","13293","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005038900","Census Tract 389, Bronx County, New York","1721","99","30.7","5.4","14.4","4.8","1.6","2.4","2.3","1.8","0.0","1.7","47.3","5.7","3.8","3.1","55.8","5.5","25.9","4.9","16.9","5.5","46.8","6.9","28.7","6.8","7.6","3.5","983","112","71.8","9.8","28.2","9.8","39.3","8.6","51.3","9.4","9.5","5.1","738","124","47.3","11.0","34.3","10.0","13.0","6.7","52.7","11.0","25.7","9.1","27.0","11.2","39.1","(X)","35.3","(X)","38.6","(X)","28240","6134","25167","21421","30990","15094","-","**","(X)","(X)","-","**","28112","6746","(X)","(X)","29235","7740","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32906","5488","24375","9926","35898","15714","40833","17019","21466","14067","28309","23117","14545","9360","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
