"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US36005000100","Census Tract 1, Bronx County, New York","0","123","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","123","-","**","-","**","-","**","-","**","-","**","0","123","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","-","(X)","-","(X)","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005000200","Census Tract 2, Bronx County, New York","1297","96","12.1","5.7","28.4","10.1","0.9","1.6","5.6","4.1","0.0","2.7","50.8","11.1","2.2","2.8","69.7","9.5","2.2","2.6","2.5","2.7","41.1","8.0","39.6","9.6","16.7","7.1","1055","128","56.3","9.5","43.7","9.5","49.6","12.1","29.9","10.8","20.6","9.6","242","97","28.9","20.1","20.2","16.3","8.7","12.1","71.1","20.1","57.0","23.5","14.0","11.7","24.4","(X)","25.5","(X)","14.9","(X)","59826","12915","62417","17795","74375","44760","-","**","43214","43393","-","**","51477","17490","125990","37250","59722","9769","25441","11009","49219","78155","44107","20170","80119","36422","31534","14084","58368","23870","44375","65804","59826","20667","59896","27388","38125","42236","57411","58210","45521","21080","23750","10095","18295","8605","60750","41057","60047","32606","45833","22140","67361","49538","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005000400","Census Tract 4, Bronx County, New York","1531","86","12.9","4.5","26.4","7.3","0.0","2.3","1.6","1.5","0.0","2.3","54.9","8.1","4.1","2.9","67.6","7.4","2.5","3.0","2.7","2.7","41.9","7.0","42.3","6.4","13.1","3.7","1224","124","52.1","7.5","47.9","7.5","45.9","10.1","32.6","8.5","21.5","8.0","307","103","54.7","20.5","48.2","21.9","6.5","7.9","45.3","20.5","21.5","12.8","23.8","16.8","24.4","(X)","24.5","(X)","21.8","(X)","71968","8223","54239","66203","93042","15895","-","**","63625","93842","-","**","70255","16319","55511","33344","65469","17613","19620","194310","2,500-","***","74694","9990","74630","25545","21875","24085","73148","21892","57409","15856","83500","15891","94271","57029","34375","23191","58073","5173","25179","8446","26429","6943","25238","8522","29583","97769","20956","37331","11111","33969","22426","106202","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005001600","Census Tract 16, Bronx County, New York","1983","62","16.4","4.5","36.9","6.7","0.0","1.7","0.0","1.7","0.0","1.7","43.6","7.0","3.1","1.9","61.0","6.3","2.4","1.9","1.0","1.6","42.2","6.5","39.8","7.4","17.1","4.4","1407","124","51.7","8.9","48.3","8.9","41.5","9.9","54.9","10.2","3.6","2.9","576","137","57.6","15.2","55.6","15.1","2.1","3.5","42.4","15.2","38.2","14.2","4.2","6.6","27.1","(X)","29.9","(X)","20.5","(X)","30355","4528","28859","12786","36033","9048","-","**","-","**","-","**","28048","4696","12014","22481","27310","3486","29565","88929","-","**","32447","9339","34196","17444","16550","6166","33555","7270","32309","7922","34773","19491","46917","20293","30583","4473","17404","44695","13024","2754","13017","8518","12500","14019","-","**","13030","8712","12069","5724","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005001900","Census Tract 19, Bronx County, New York","655","74","39.1","16.4","43.5","15.2","0.0","5.2","0.0","5.2","0.0","5.2","17.4","8.8","0.0","5.2","60.3","11.1","6.6","6.7","0.0","5.2","58.2","11.8","26.4","10.7","15.4","7.3","374","92","57.5","14.2","42.5","14.2","45.5","18.4","42.8","17.7","11.8","10.9","281","84","31.3","20.1","27.8","19.3","3.6","8.1","68.7","20.1","65.1","21.6","3.6","7.3","39.4","(X)","40.1","(X)","32.7","(X)","25093","9973","25957","14124","12371","28611","-","**","-","**","-","**","25750","34846","-","**","18125","14346","73750","57028","-","**","24188","12583","26563","38550","19375","22013","25489","6808","25438","15028","25529","12698","28889","6433","12155","10230","119722","123784","8363","13810","4524","8501","3929","6636","-","**","9602","56554","9034","47006","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005002000","Census Tract 20, Bronx County, New York","3029","126","11.5","4.1","41.6","6.8","0.0","1.1","0.4","0.6","0.0","1.1","46.4","7.2","0.2","0.5","58.5","6.5","0.3","0.6","2.7","2.9","32.2","6.5","40.8","6.9","24.3","4.6","2034","216","60.9","8.0","39.1","8.0","20.5","6.6","71.0","7.9","8.5","5.3","995","197","78.5","12.1","76.0","12.9","2.5","4.3","21.5","12.1","18.2","11.0","3.3","5.2","29.1","(X)","36.0","(X)","14.9","(X)","24939","8217","26471","22541","30026","13713","-","**","-","**","-","**","24243","8123","-","**","24564","7394","2,500-","***","29176","7442","30711","10288","31520","7202","13673","4828","30817","3872","28429","8288","39167","12933","43229","18115","24719","8586","37414","14091","10912","4953","10521","6750","9892","6413","-","**","11100","21142","9857","11417","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005002300","Census Tract 23, Bronx County, New York","1968","79","42.4","7.7","37.2","6.9","0.0","1.8","0.0","1.8","0.0","1.8","18.6","6.8","1.7","2.3","69.8","6.3","2.1","2.2","4.2","3.1","29.1","6.1","35.5","6.8","31.3","5.5","1119","129","69.5","8.1","30.5","8.1","29.5","9.6","66.1","10.4","4.4","3.9","849","137","70.2","10.3","62.0","10.9","8.2","6.9","29.8","10.3","29.8","10.3","0.0","4.0","30.2","(X)","29.3","(X)","28.2","(X)","13756","1345","12664","1918","14898","2826","-","**","-","**","-","**","21648","14654","15926","9302","13429","1977","2,500-","***","15463","11655","19933","10551","13932","1672","10030","1263","20342","4100","19257","5463","22009","22277","40694","28238","15500","4749","59135","46449","9883","1135","9674","1793","9219","877","17222","2327","10299","1296","10299","1296","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005002400","Census Tract 24, Bronx County, New York","0","123","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","123","-","**","-","**","-","**","-","**","-","**","0","123","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","-","(X)","-","(X)","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005002500","Census Tract 25, Bronx County, New York","1812","107","40.0","8.2","23.2","6.2","0.8","1.3","0.0","1.9","0.0","1.9","32.7","7.6","3.3","2.8","77.0","5.7","4.5","3.1","4.5","3.3","41.3","6.8","36.5","6.8","17.7","5.1","1121","137","55.4","10.1","44.6","10.1","34.4","9.0","53.5","8.8","12.0","6.0","691","133","38.4","11.8","38.4","11.8","0.0","4.9","61.6","11.8","48.2","12.1","13.5","8.5","26.4","(X)","31.2","(X)","15.9","(X)","15207","4046","11804","5115","20294","9133","-","**","-","**","-","**","12813","6122","15739","5726","12460","5882","11063","4602","11087","14067","23650","3577","10650","2552","11983","6543","17048","2945","13750","6944","18125","4258","27000","19682","11462","3874","19671","22006","10025","1371","8323","796","8323","796","-","**","11418","1088","10692","1129","25508","15514","(X)","(X)","(X)","(X)","(X)","(X)"
