"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"1400000US36005040100","Census Tract 401, Bronx County, New York","1510","81","12.6","4.4","17.5","4.9","0.0","2.0","1.4","1.6","0.0","2.0","64.8","6.7","3.7","2.6","81.5","4.9","3.0","1.7","5.0","4.1","39.1","7.6","46.0","7.6","9.8","4.1","979","127","54.5","11.0","45.5","11.0","32.0","10.9","59.1","10.6","8.9","5.6","531","131","42.0","15.2","38.4","14.9","3.6","5.4","58.0","15.2","46.3","15.1","11.7","11.7","43.8","(X)","43.7","(X)","39.5","(X)","29394","8391","16875","9188","32328","15950","-","**","-","**","-","**","27992","13405","60370","12264","26146","8412","-","**","-","**","22006","2829","37813","18007","-","**","26250","11714","21589","1252","40594","24246","32227","27673","20564","7107","-","**","25958","17823","8771","839","8568","873","-","**","40611","14289","37045","14903","63516","51494","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005040302","Census Tract 403.02, Bronx County, New York","1449","39","14.7","5.4","24.8","7.2","2.8","3.3","3.9","2.8","0.0","2.0","50.5","8.2","3.3","2.6","72.4","8.3","3.3","3.1","1.7","1.9","39.8","7.1","43.3","7.9","15.3","4.1","978","98","56.5","12.4","43.5","12.4","39.0","11.2","48.2","9.5","12.9","8.4","471","102","49.7","15.7","43.3","15.5","6.4","7.0","50.3","15.7","34.4","13.9","15.9","12.5","40.4","(X)","37.8","(X)","43.9","(X)","27156","4702","25846","4561","33611","25185","-","**","-","**","-","**","29688","12117","9722","9439","29173","9277","30000","18206","-","**","36707","23218","29762","10500","11813","3984","27976","8584","25485","3500","48651","21633","35417","32185","23272","4265","52713","18643","22535","10107","18088","10824","14276","6330","-","**","-","**","19394","12128","88036","57896","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005040303","Census Tract 403.03, Bronx County, New York","1551","71","19.3","5.4","19.3","5.9","0.5","0.9","3.7","2.3","0.0","1.9","53.8","7.3","3.4","2.4","79.2","5.0","2.6","2.0","7.5","4.2","36.4","6.6","50.0","8.0","6.0","2.7","1153","113","44.8","7.8","55.2","7.8","36.3","10.9","46.1","9.9","17.7","6.3","398","108","59.0","15.7","46.0","15.6","13.1","10.6","41.0","15.7","32.9","15.6","8.0","7.1","46.7","(X)","44.3","(X)","45.5","(X)","40838","3944","54201","13098","42614","9310","-","**","29688","6573","-","**","37843","8488","46719","6970","38162","7520","53875","4185","43650","16791","50038","12525","38714","6346","24464","14878","39730","6007","37549","7187","44279","10005","41382","6549","35125","22884","51500","3209","40060","21322","-","**","-","**","48676","43137","44135","9528","42981","11947","46250","44120","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005040304","Census Tract 403.04, Bronx County, New York","1214","69","16.0","5.7","13.7","7.8","0.6","1.0","5.7","3.1","0.0","2.4","63.8","9.4","0.2","0.7","78.1","8.5","8.0","3.4","6.5","4.2","32.0","8.6","49.4","10.0","12.0","5.2","816","111","62.7","10.5","37.3","10.5","42.5","12.5","47.3","12.9","10.2","6.6","398","126","75.9","10.4","61.1","16.1","14.8","16.5","24.1","10.4","17.3","9.8","6.8","7.8","48.3","(X)","55.3","(X)","28.6","(X)","30923","11596","31250","8923","-","**","-","**","45625","12925","-","**","29107","17928","-","**","26563","14729","39271","20468","23523","23484","30885","18072","36552","5710","-","**","25938","17667","21991","14721","34516","11873","38958","23127","20556","11434","-","**","31293","24194","31552","23036","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005040400","Census Tract 404, Bronx County, New York","1067","66","3.9","3.8","84.1","7.2","0.0","2.8","0.0","2.8","3.6","4.9","8.4","4.4","0.0","2.8","10.2","4.7","2.2","3.1","4.7","5.3","34.9","10.4","39.1","10.6","21.4","7.5","726","103","43.9","12.4","56.1","12.4","30.2","11.1","50.7","13.2","19.1","9.8","341","106","49.3","21.7","46.9","22.9","2.3","4.6","50.7","21.7","38.4","20.4","12.3","13.6","46.5","(X)","40.1","(X)","53.7","(X)","45381","7748","-","**","40925","9609","-","**","-","**","-","**","63125","47441","-","**","-","**","-","**","46382","1002","37045","13876","67847","36303","37262","14779","63173","29541","41781","8579","74797","28357","72768","41746","45795","25184","41761","17340","31401","7484","-","**","-","**","-","**","31315","6192","30409","9582","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005040501","Census Tract 405.01, Bronx County, New York","1358","78","11.0","4.5","18.5","5.7","0.0","2.2","6.3","4.1","0.0","2.2","62.6","7.7","1.7","1.8","75.9","5.6","2.5","2.0","8.4","5.2","44.0","8.7","37.5","8.8","10.1","4.7","1036","123","54.1","10.1","45.9","10.1","36.0","10.9","53.7","11.4","10.3","6.9","322","108","63.4","19.0","50.3","17.4","13.0","12.5","36.6","19.0","30.7","18.7","5.9","6.6","45.1","(X)","45.9","(X)","35.4","(X)","35436","4215","21932","9419","41696","17838","-","**","-","**","-","**","35577","5638","-","**","35717","4411","-","**","24444","12669","35867","4389","45859","10384","21332","4376","37300","11170","35426","14022","42778","11034","57656","39972","32794","7394","-","**","20172","13943","14091","9105","12500","2711","41563","19726","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005040502","Census Tract 405.02, Bronx County, New York","2308","126","10.1","5.8","36.5","8.2","0.6","0.9","3.8","2.6","0.0","1.3","49.1","6.9","0.0","1.3","59.2","9.5","0.7","1.2","8.0","5.0","29.7","7.2","48.7","7.1","13.6","4.1","1516","171","50.3","9.5","49.7","9.5","28.7","11.3","60.6","11.7","10.8","6.9","792","162","43.2","14.6","42.7","14.6","0.5","1.5","56.8","14.6","48.5","14.4","8.3","9.3","43.0","(X)","49.6","(X)","30.4","(X)","23142","4974","-","**","24578","10103","-","**","-","**","-","**","21164","7330","-","**","19970","8422","-","**","50410","21721","-","**","24500","20552","22094","6799","24472","5741","23178","6980","36417","22333","59116","29567","19052","4814","-","**","-","**","17635","13997","16250","14029","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005040600","Census Tract 406, Bronx County, New York","1149","100","6.4","5.6","85.2","6.7","0.0","2.6","2.9","2.9","0.0","2.6","4.1","4.8","1.4","1.6","10.5","6.6","0.0","2.6","1.0","1.9","35.2","9.7","39.9","8.6","23.8","7.3","833","120","48.4","11.9","51.6","11.9","39.5","13.2","42.1","11.2","18.4","7.5","316","109","60.4","20.1","53.8","20.4","6.6","10.4","39.6","20.1","32.3","17.5","7.3","11.3","43.3","(X)","50.4","(X)","19.9","(X)","48194","18027","-","**","53057","17455","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","54609","44747","54063","24716","32083","21357","55257","10728","30903","14116","75459","28220","62875","20159","-","**","56352","22650","23375","14812","-","**","-","**","-","**","19205","12045","16944","6283","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005040701","Census Tract 407.01, Bronx County, New York","1238","51","14.6","6.2","14.5","5.4","0.6","0.9","2.7","3.0","0.0","2.4","65.3","7.6","2.3","2.4","74.4","6.2","8.2","4.6","1.5","2.5","47.0","9.8","40.1","10.4","11.3","4.4","768","99","53.4","11.7","46.6","11.7","42.3","13.4","40.8","10.6","16.9","10.6","470","88","45.3","17.7","45.3","17.7","0.0","6.2","54.7","17.7","46.6","16.7","8.1","8.3","43.5","(X)","52.0","(X)","29.6","(X)","36607","4896","35302","20654","31007","11376","-","**","-","**","-","**","39450","6103","46964","44050","39517","4018","35862","21780","-","**","39573","4884","37340","6234","10263","6147","45769","13333","31711","17064","63333","14370","60563","32140","27188","16993","50962","15296","21184","12689","14276","12358","14276","12358","-","**","30302","13457","31146","19163","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
