"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US36005022000","Census Tract 220, Bronx County, New York","437","87","14.4","10.3","39.4","20.4","0.0","7.2","0.0","7.2","0.0","7.2","43.9","19.7","2.3","3.4","58.4","19.3","4.1","4.8","8.2","8.2","34.6","17.3","51.0","19.2","6.2","5.8","312","79","46.8","22.5","53.2","22.5","27.9","20.3","52.2","24.2","19.9","14.4","125","79","24.0","29.1","24.0","29.1","0.0","22.6","76.0","29.1","69.6","30.6","6.4","12.3","26.8","(X)","36.5","(X)","0.0","(X)","13750","10963","16094","78663","15000","21524","-","**","-","**","-","**","13278","4572","-","**","13028","3917","95250","141884","31250","16626","12583","7874","19821","28985","11528","13097","14444","13531","12381","10874","24000","29478","24440","37890","12694","10782","33125","36536","8955","1953","11944","34670","11944","34670","-","**","8668","1058","8504","4105","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022101","Census Tract 221.01, Bronx County, New York","1173","54","16.4","8.3","24.1","6.7","4.4","4.2","2.6","3.4","0.0","2.7","43.2","10.4","9.2","5.8","71.8","7.9","1.4","2.2","3.8","3.5","51.2","10.3","33.7","10.5","11.3","5.2","825","107","53.7","12.5","46.3","12.5","31.4","8.8","55.5","9.7","13.1","9.2","348","116","29.9","18.6","19.5","15.0","10.3","12.4","70.1","18.6","50.3","22.2","19.8","19.5","18.2","(X)","20.1","(X)","11.5","(X)","26756","6443","23553","8875","20398","15416","12407","50060","28239","8558","-","**","31589","7638","32667","35461","27269","9588","-","**","32009","46974","20444","7751","34926","9846","16875","16182","26172","10332","20972","8761","32865","8693","32538","7489","25365","17321","24435","25788","27727","16316","30429","26113","30071","32726","55543","67505","24474","16354","23487","14122","67946","94729","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022102","Census Tract 221.02, Bronx County, New York","1533","114","21.9","8.4","19.4","7.1","0.5","1.0","1.4","1.7","0.0","2.1","55.3","10.2","1.5","1.7","82.9","6.2","2.2","2.6","4.0","4.4","50.8","8.8","31.4","9.0","13.8","6.0","1256","141","65.8","10.6","34.2","10.6","36.6","9.3","59.3","9.8","4.1","4.6","277","121","62.1","22.7","48.4","23.5","13.7","19.8","37.9","22.7","37.9","22.7","0.0","11.1","12.7","(X)","10.9","(X)","20.9","(X)","21551","5047","19156","11359","21836","23468","-","**","95208","135254","-","**","21014","7853","32054","103893","19604","4971","9293","23027","55461","22914","21667","6841","19250","6675","19483","20299","17484","5899","18688","5779","16875","18186","35862","23281","14277","1820","43836","45098","36050","23271","35300","39561","14643","19079","-","**","43068","33483","43068","33483","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022200","Census Tract 222, Bronx County, New York","1078","104","21.6","8.0","22.6","9.6","0.0","3.0","8.0","3.9","0.0","3.0","43.1","9.7","4.6","4.2","60.8","9.2","7.9","3.9","4.7","3.8","31.6","8.5","46.8","9.2","16.9","8.4","692","130","49.6","12.7","50.4","12.7","57.4","13.1","29.9","10.6","12.7","10.2","386","106","36.8","15.0","31.9","15.0","4.9","5.6","63.2","15.0","55.4","16.7","7.8","8.9","33.7","(X)","36.4","(X)","23.1","(X)","34352","14581","48893","5974","44236","17254","-","**","29128","19906","-","**","22049","12046","80484","68307","33565","12773","53542","63483","28661","10268","47572","33428","31600","21170","37750","16437","29167","13613","27994","9701","39875","23224","29699","27113","31146","27694","20000","63923","38056","14309","18833","13595","13125","16369","50125","30627","42917","14104","50212","20528","39583","6187","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022300","Census Tract 223, Bronx County, New York","1841","63","18.5","6.6","25.4","7.7","0.6","1.2","0.5","1.0","0.0","1.7","53.2","8.8","1.7","2.0","78.8","6.5","0.8","1.3","5.6","4.0","33.2","9.2","45.1","8.6","16.1","5.1","1171","182","41.9","8.7","58.1","8.7","25.3","9.2","44.3","12.3","30.4","11.1","670","169","63.4","13.9","53.1","15.6","10.3","12.7","36.6","13.9","19.3","13.3","17.3","13.1","17.9","(X)","12.5","(X)","27.3","(X)","24581","3435","28987","10053","33333","21977","-","**","-","**","-","**","23668","4199","-","**","24003","3360","2,500-","***","21860","31853","27917","16762","23360","8690","21250","20435","30768","9662","23410","8357","40611","14042","47250","12274","14131","4800","49500","37684","14885","12453","9453","4335","8854","952","26031","2206","25625","3401","29830","13207","14571","17257","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022401","Census Tract 224.01, Bronx County, New York","1139","45","37.3","10.4","16.8","7.2","0.0","2.8","7.6","5.1","0.0","2.8","36.9","11.2","1.5","2.5","48.6","11.0","27.9","10.1","5.0","4.0","34.3","10.9","43.2","11.6","17.5","6.5","633","117","50.9","13.5","49.1","13.5","47.9","13.0","32.4","13.1","19.7","11.9","506","115","73.5","11.0","61.3","13.2","12.3","10.2","26.5","11.0","24.5","10.9","2.0","3.0","24.6","(X)","22.0","(X)","25.7","(X)","35574","5870","33924","6414","44375","13865","-","**","37813","15447","-","**","30455","10596","-","**","31932","11628","34922","9946","37875","26186","40208","22072","45595","16541","17917","25200","33090","7777","41917","9529","27330","10165","36683","5593","27788","18261","25284","16786","43942","12902","37750","17161","30455","22637","44519","50301","55682","5072","55435","17570","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022403","Census Tract 224.03, Bronx County, New York","1313","73","38.1","9.7","12.1","5.5","2.3","3.5","6.1","4.8","0.0","2.4","39.1","10.5","2.4","4.0","56.9","8.4","24.7","7.5","0.0","2.4","55.5","9.7","33.7","7.2","10.7","5.3","697","128","71.0","11.5","29.0","11.5","29.0","14.8","59.3","16.2","11.8","11.3","616","135","72.2","13.7","56.8","17.4","15.4","12.3","27.8","13.7","18.8","12.6","8.9","10.8","15.4","(X)","17.5","(X)","13.0","(X)","25923","11917","29167","19951","53042","21490","-","**","96389","16911","-","**","16125","5480","16384","57758","16922","2207","29028","20678","-","**","31801","14980","25511","22802","15583","16344","22292","19447","17733","3886","65238","16144","88833","44014","17063","3815","17278","18414","23636","10937","25511","15651","19205","7829","72625","60860","21494","21436","40364","53899","21006","3071","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022404","Census Tract 224.04, Bronx County, New York","1702","81","38.9","8.8","14.9","5.4","0.0","1.9","6.5","3.0","0.0","1.9","36.5","10.3","3.1","3.7","40.8","9.5","30.7","8.0","0.0","1.9","44.1","7.5","39.0","7.3","16.9","5.1","1127","159","49.1","12.4","50.9","12.4","54.4","10.8","29.9","11.3","15.7","8.6","575","144","52.7","17.3","50.6","17.5","2.1","3.4","47.3","17.3","46.4","17.3","0.9","2.3","21.3","(X)","19.1","(X)","25.6","(X)","46352","5013","60338","19468","45513","20626","-","**","47566","13495","-","**","36170","28583","45844","34970","36974","34132","61182","20567","-","**","46264","17524","49518","16503","31250","22297","53674","17342","68160","13303","47188","8801","82607","15221","39934","13254","63008","47358","33558","15829","22228","17931","21576","14698","-","**","35789","17513","35625","14843","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022500","Census Tract 225, Bronx County, New York","2221","114","9.9","4.2","43.7","7.1","0.0","1.5","0.0","1.5","0.0","1.5","45.3","7.3","1.1","1.5","67.7","6.2","0.0","1.5","4.6","3.2","41.5","6.5","38.4","7.0","15.5","5.0","1514","193","59.5","9.8","40.5","9.8","31.0","8.6","42.1","9.5","26.9","9.0","707","173","56.7","14.6","52.1","16.4","4.7","7.2","43.3","14.6","34.1","13.3","9.2","8.6","33.0","(X)","35.3","(X)","20.4","(X)","32036","9527","48661","23801","24034","22215","-","**","-","**","-","**","31635","10688","8333","1847","30786","10546","-","**","39167","30865","37760","11715","29809","20604","19698","9807","35030","10030","31083","17515","35609","9386","46974","13851","20128","5386","23958","14143","12214","10107","12005","11802","11146","8124","-","**","15333","20949","9813","24808","16917","186589","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022701","Census Tract 227.01, Bronx County, New York","1630","79","8.3","4.5","34.4","6.7","0.0","2.0","0.0","2.0","0.0","2.0","53.6","7.7","3.8","3.2","67.0","5.8","1.7","1.8","1.3","2.1","37.0","8.2","51.5","8.1","10.2","3.4","1255","126","57.8","7.1","42.2","7.1","41.6","10.3","48.2","9.5","10.2","5.4","375","100","55.2","15.2","50.4","16.5","4.8","6.7","44.8","15.2","22.1","13.9","22.7","14.7","38.3","(X)","36.1","(X)","40.8","(X)","32500","6461","29313","39097","38850","15967","-","**","-","**","-","**","26083","14507","47826","27862","28500","6931","8594","44969","-","**","35243","11163","33393","6173","15286","10370","32169","5966","33090","7388","31250","9028","49136","8039","26250","11216","23750","18877","29053","7746","27266","19286","26528","31043","62955","60956","45114","22800","9115","35632","47443","61465","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022702","Census Tract 227.02, Bronx County, New York","537","62","25.0","10.8","31.8","10.3","3.4","5.2","6.1","5.0","0.0","5.9","24.8","10.0","8.9","7.9","57.0","11.1","0.0","5.9","1.5","2.6","55.3","13.7","36.3","12.0","6.9","6.2","368","78","60.1","15.0","39.9","15.0","32.6","14.7","57.9","15.9","9.5","10.2","169","61","39.1","22.1","24.9","18.5","14.2","14.3","60.9","22.1","60.9","22.1","0.0","17.4","17.7","(X)","10.9","(X)","32.5","(X)","51597","10738","45536","45339","47386","36520","-","**","59583","19766","-","**","55506","17062","42143","27279","46711","11078","-","**","-","**","56161","7244","46050","13029","26250","7693","51143","8975","50964","8195","55142","21786","56136","5833","46550","8920","55511","33327","19866","13870","25526","22645","25658","15936","9500","132750","19509","12810","19509","12810","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022703","Census Tract 227.03, Bronx County, New York","528","85","29.9","14.0","35.4","13.2","0.0","6.0","6.1","5.9","0.0","6.0","25.6","13.3","3.0","3.5","51.1","11.5","10.2","10.0","7.6","7.4","38.4","10.1","46.0","11.4","8.0","6.7","421","82","38.7","14.8","61.3","14.8","48.2","21.0","30.2","16.2","21.6","17.8","107","54","63.6","35.5","63.6","35.5","0.0","25.7","36.4","35.5","36.4","35.5","0.0","25.7","44.7","(X)","49.6","(X)","25.2","(X)","43720","8048","43963","4607","33074","9672","-","**","139167","28820","-","**","49191","27833","56250","44725","41705","16636","44146","1287","28500","36504","39836","8267","52981","14638","40455","41208","42835","5941","31125","7431","44695","4469","41719","31222","30859","15534","44665","7206","53173","41685","32188","39572","32188","39572","-","**","95759","27918","95759","27918","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005022800","Census Tract 228, Bronx County, New York","2226","133","27.7","8.0","20.2","6.0","1.2","1.5","14.7","4.6","0.0","1.4","34.4","7.9","1.8","1.8","43.5","7.0","21.7","7.1","2.3","2.5","48.6","7.0","33.7","7.5","15.5","4.4","1453","183","56.3","9.2","43.7","9.2","50.7","8.4","37.1","8.0","12.3","7.3","773","159","52.3","13.1","43.6","14.4","8.7","9.1","47.7","13.1","41.1","13.2","6.6","7.6","35.8","(X)","34.8","(X)","37.8","(X)","41557","7561","39497","10363","38068","22610","42321","33291","51602","18671","-","**","34414","24456","10987","17140","34570","22184","39421","8876","29777","160149","45692","3315","48514","20869","18689","8417","45625","6770","37984","9267","77601","45780","53065","14959","32083","16689","45897","29240","30492","19759","15833","16826","14111","4408","69893","38314","34315","18641","32273","25720","34556","44349","(X)","(X)","(X)","(X)","(X)","(X)"
