"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US36005000100","Census Tract 1, Bronx County, New York","0","17","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","17","-","**","-","**","-","**","-","**","-","**","0","17","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","-","(X)","-","(X)","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005000200","Census Tract 2, Bronx County, New York","1303","92","17.2","6.9","32.5","7.8","1.5","1.6","4.6","3.3","0.0","2.5","42.5","9.6","1.8","2.0","65.6","8.0","1.7","1.9","2.8","3.6","30.3","7.2","46.0","8.4","20.9","5.7","1014","137","51.3","10.2","48.7","10.2","52.7","11.1","25.3","9.0","22.0","7.7","289","110","47.1","20.1","41.2","18.3","5.9","10.2","52.9","20.1","42.2","22.4","10.7","10.1","32.0","(X)","36.7","(X)","4.2","(X)","71250","16541","70263","27132","76793","24793","14875","105373","46667","68580","-","**","75417","26148","130446","201434","72303","17673","28036","9689","50893","15168","90202","21687","83750","20321","29362","27090","85149","22398","50735","53788","86330","13816","90565","20873","40625","75978","78523","63907","47649","37071","28258","20193","27614","11437","-","**","49018","20155","48095","40122","72039","42567","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005000400","Census Tract 4, Bronx County, New York","1682","82","17.6","6.0","33.8","5.8","0.0","1.9","1.2","1.5","0.0","1.9","46.1","6.9","1.2","1.1","66.1","6.3","1.5","1.7","1.9","2.0","40.0","6.8","44.1","6.2","14.1","4.5","1402","113","45.8","8.5","54.2","8.5","40.6","7.5","40.2","8.2","19.3","7.6","280","86","49.3","18.2","33.6","16.7","15.7","11.5","50.7","18.2","31.8","16.3","18.9","16.5","31.6","(X)","32.9","(X)","25.4","(X)","75833","6406","69559","72203","76875","16439","-","**","69519","187612","-","**","76078","12087","38750","48298","68015","17908","63750","140150","38929","78612","76316","12030","97019","22331","24293","20930","75426","19610","52037","15832","90000","15569","117156","28904","48958","15911","68917","38798","28750","20268","28269","11794","21439","4679","53654","21538","40962","53713","14770","57072","108287","122945","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005001600","Census Tract 16, Bronx County, New York","1940","78","18.7","4.7","38.1","7.1","0.0","1.7","0.0","1.7","0.0","1.7","41.1","7.2","2.1","1.6","63.0","6.3","2.0","1.8","1.1","1.8","39.6","6.4","36.7","6.9","22.6","5.4","1351","131","48.8","7.4","51.2","7.4","44.2","8.6","49.9","10.0","5.9","4.8","589","129","63.5","11.2","61.6","11.4","1.9","3.0","36.5","11.2","36.5","11.2","0.0","5.4","30.8","(X)","35.4","(X)","17.1","(X)","32328","4310","33287","13762","34386","6446","-","**","-","**","-","**","30557","8990","30000","47235","30805","5680","29500","102442","-","**","39527","7572","35682","15633","16146","5143","39932","8111","38885","9796","43315","14043","55508","25417","33545","7272","68636","81466","14245","3825","13388","2009","13327","2449","-","**","19511","9526","19511","9526","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005001900","Census Tract 19, Bronx County, New York","745","66","44.6","11.2","31.8","9.8","0.0","4.3","0.0","4.3","0.0","4.3","22.1","7.3","1.5","1.8","64.7","9.1","12.8","5.1","0.7","1.3","63.2","9.4","26.6","8.8","9.5","5.5","458","88","57.6","14.0","42.4","14.0","46.3","13.2","36.9","13.4","16.8","10.1","287","78","38.0","11.4","28.2","9.8","9.8","8.0","62.0","11.4","48.8","12.8","13.2","8.3","36.4","(X)","41.5","(X)","23.7","(X)","29491","6305","29545","6792","28250","30066","-","**","-","**","-","**","30694","11640","9792","137849","26806","4030","75313","9920","-","**","34688","15004","25167","10457","25694","50336","30185","8029","28750","12312","30278","9945","33409","18604","17604","13969","37708","62215","27260","20761","26250","32691","23523","27240","53571","24880","31250","27144","25227","33374","113636","88913","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005002000","Census Tract 20, Bronx County, New York","3009","127","14.2","4.7","40.9","5.8","0.0","1.1","1.7","2.0","0.0","1.1","42.2","6.4","1.0","1.2","62.9","6.2","0.4","0.6","2.4","2.2","31.4","5.4","43.3","5.9","22.9","4.5","2112","204","58.1","8.2","41.9","8.2","23.0","7.1","65.4","9.0","11.6","6.3","897","193","78.8","12.0","77.1","12.4","1.7","2.7","21.2","12.0","21.2","12.0","0.0","3.6","32.9","(X)","35.2","(X)","27.4","(X)","22706","5412","19091","6014","30896","8227","-","**","37167","130396","-","**","20179","9685","17206","362089","20046","5371","2,500-","***","2,500-","***","26476","10518","30457","7912","12736","5389","26482","4432","26548","6196","26286","13478","48775","58138","19321","5304","36250","4334","13997","3460","14622","2975","14375","3039","-","**","10521","9825","10521","9825","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005002300","Census Tract 23, Bronx County, New York","1920","55","42.1","8.1","33.1","6.4","1.1","0.9","0.0","1.7","0.0","1.7","22.8","7.7","0.8","1.0","78.2","6.5","1.0","1.1","2.7","2.0","26.5","6.0","39.4","6.3","31.5","5.4","1084","158","60.1","9.8","39.9","9.8","21.5","7.4","69.4","9.4","9.1","7.1","836","153","67.8","13.6","63.8","13.2","4.1","5.1","32.2","13.6","31.5","13.6","0.7","1.1","26.4","(X)","26.0","(X)","23.9","(X)","13556","2529","12364","3322","15114","3885","2,500-","***","-","**","-","**","13563","9395","22656","27935","12494","3081","19875","26374","21250","33001","17102","4965","15192","8325","10793","1202","16944","4018","16343","3148","19306","7278","20594","3877","16759","4078","11162","1033","10838","1132","10324","1782","9904","1330","21700","130066","11227","1365","11157","1351","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005002400","Census Tract 24, Bronx County, New York","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","0","12","-","**","-","**","-","**","-","**","-","**","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","-","(X)","-","(X)","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US36005002500","Census Tract 25, Bronx County, New York","1826","113","45.1","6.7","23.4","4.7","0.9","1.4","2.0","1.9","0.0","1.8","24.1","6.4","4.5","3.1","78.3","5.1","3.2","2.8","3.9","2.6","41.9","6.2","33.9","6.1","20.2","5.2","1121","140","62.5","8.7","37.5","8.7","29.4","8.9","57.8","9.8","12.8","6.3","705","137","33.3","10.8","25.7","9.9","7.7","6.6","66.7","10.8","60.6","10.8","6.1","5.8","23.7","(X)","27.7","(X)","17.3","(X)","14776","2801","13373","3245","11809","5937","-","**","21339","4659","-","**","18611","9487","17000","2382","15000","3012","11211","8391","11316","5318","19563","4777","13918","3025","11750","3014","18057","2259","17321","5664","18474","2982","43900","15729","13919","3691","15625","5805","10732","1244","9968","1338","9401","663","14286","6089","11109","1604","10889","2103","11680","15045","(X)","(X)","(X)","(X)","(X)","(X)"
