city,tract,county,BoroCTLbl,Total,Mobile_Dependent,Wired_Broadband,No_Internet
 New York,429.02,Bronx,Bronx 429.02,1599,144,1002,419
 New York,330,Bronx,Bronx 330,2129,90,1477,407
 New York,358,Bronx,Bronx 358,2443,200,1745,245
 New York,371,Bronx,Bronx 371,1739,94,927,628
 New York,385,Bronx,Bronx 385,1674,157,880,470
 New York,421,Bronx,Bronx 421,2149,150,1557,214
 New York,451.01,Bronx,Bronx 451.01,754,73,554,95
 New York,118,Bronx,Bronx 118,1605,152,1195,236
 New York,204,Bronx,Bronx 204,1043,45,726,197
 New York,248,Bronx,Bronx 248,1100,106,829,134
 New York,408,Bronx,Bronx 408,1611,237,838,339
 New York,484,Bronx,Bronx 484,1246,101,954,130
 New York,247,Bronx,Bronx 247,769,80,421,151
 New York,266.02,Bronx,Bronx 266.02,2432,134,1742,447
 New York,364,Bronx,Bronx 364,832,67,520,146
 New York,449.02,Bronx,Bronx 449.02,821,19,573,149
 New York,223,Bronx,Bronx 223,1845,127,1033,592
 New York,254,Bronx,Bronx 254,778,88,516,130
 New York,296,Bronx,Bronx 296,698,32,540,80
 New York,376,Bronx,Bronx 376,784,65,486,152
 New York,27.01,Bronx,Bronx 27.01,1061,141,571,325
 New York,65,Bronx,Bronx 65,1948,312,1050,559
 New York,157,Bronx,Bronx 157,1516,110,893,460
 New York,1,Bronx,Bronx 1,0,0,0,0
 New York,67,Bronx,Bronx 67,2336,173,1028,893
 New York,407.02,Bronx,Bronx 407.02,2624,248,1528,641
 New York,380,Bronx,Bronx 380,1915,249,1119,379
 New York,25,Bronx,Bronx 25,1947,90,966,786
 New York,61,Bronx,Bronx 61,2143,130,1364,503
 New York,227.01,Bronx,Bronx 227.01,1856,146,1243,372
 New York,79,Bronx,Bronx 79,2377,210,1364,610
 New York,167,Bronx,Bronx 167,1033,101,611,261
 New York,224.01,Bronx,Bronx 224.01,1134,244,567,284
 New York,28,Bronx,Bronx 28,2309,129,1451,634
 New York,158,Bronx,Bronx 158,469,34,294,123
 New York,218,Bronx,Bronx 218,2320,169,1563,524
 New York,338,Bronx,Bronx 338,1425,223,845,201
 New York,365.02,Bronx,Bronx 365.02,717,132,361,193
