city,tract,county,BoroCTLbl,Total,Mobile_Dependent,Wired_Broadband,No_Internet
 New York,72,Bronx,Bronx 72,1633,158,987,321
 New York,121.01,Bronx,Bronx 121.01,926,91,514,211
 New York,121.02,Bronx,Bronx 121.02,511,17,325,130
 New York,123,Bronx,Bronx 123,1499,123,870,442
 New York,133,Bronx,Bronx 133,2352,197,1480,617
 New York,143,Bronx,Bronx 143,642,105,322,179
 New York,144,Bronx,Bronx 144,2289,310,1118,678
 New York,213.01,Bronx,Bronx 213.01,449,63,273,97
 New York,145,Bronx,Bronx 145,2380,259,1290,611
 New York,166,Bronx,Bronx 166,773,122,441,134
 New York,194,Bronx,Bronx 194,733,70,518,138
 New York,229.01,Bronx,Bronx 229.01,1970,135,1074,629
 New York,132,Bronx,Bronx 132,2483,292,1670,307
 New York,201,Bronx,Bronx 201,1296,171,670,372
 New York,89,Bronx,Bronx 89,1155,19,607,465
 New York,98,Bronx,Bronx 98,1682,35,1336,255
 New York,125,Bronx,Bronx 125,1348,95,903,315
 New York,149,Bronx,Bronx 149,1623,213,871,414
 New York,197,Bronx,Bronx 197,2250,178,1431,552
 New York,220,Bronx,Bronx 220,676,84,314,238
 New York,227.02,Bronx,Bronx 227.02,577,118,324,129
 New York,231,Bronx,Bronx 231,455,46,236,121
 New York,235.01,Bronx,Bronx 235.01,1118,222,460,392
 New York,16,Bronx,Bronx 16,1982,136,1292,420
 New York,24,Bronx,Bronx 24,43,5,38,0
 New York,31,Bronx,Bronx 31,597,29,350,177
 New York,38,Bronx,Bronx 38,411,49,256,100
 New York,41,Bronx,Bronx 41,2056,348,1028,620
 New York,119,Bronx,Bronx 119,1920,256,1003,561
 New York,115.02,Bronx,Bronx 115.02,1250,81,754,340
 New York,141,Bronx,Bronx 141,2182,146,1393,487
 New York,151,Bronx,Bronx 151,1732,69,1212,381
 New York,153,Bronx,Bronx 153,1586,86,922,486
 New York,155,Bronx,Bronx 155,1111,97,651,323
 New York,236,Bronx,Bronx 236,606,28,337,189
 New York,243,Bronx,Bronx 243,2004,134,1071,561
 New York,44,Bronx,Bronx 44,1641,92,1024,475
 New York,48,Bronx,Bronx 48,1407,95,844,343
 New York,59.02,Bronx,Bronx 59.02,1017,77,703,196
 New York,83,Bronx,Bronx 83,2058,270,1359,382
 New York,84,Bronx,Bronx 84,743,32,580,84
 New York,163,Bronx,Bronx 163,0,0,0,0
 New York,169,Bronx,Bronx 169,493,60,281,130
 New York,173,Bronx,Bronx 173,2110,105,1172,686
 New York,246,Bronx,Bronx 246,725,78,440,162
 New York,249,Bronx,Bronx 249,0,0,0,0
 New York,250,Bronx,Bronx 250,980,91,589,202
 New York,252,Bronx,Bronx 252,915,168,563,103
 New York,257,Bronx,Bronx 257,691,70,492,81
 New York,277,Bronx,Bronx 277,1734,126,1096,354
 New York,285,Bronx,Bronx 285,1599,89,1171,246
 New York,286,Bronx,Bronx 286,458,90,309,59
 New York,199,Bronx,Bronx 199,2874,297,1792,588
 New York,289,Bronx,Bronx 289,1877,142,1221,355
 New York,312,Bronx,Bronx 312,605,62,439,89
 New York,189,Bronx,Bronx 189,2898,282,1773,665
 New York,202,Bronx,Bronx 202,824,41,486,241
 New York,206.01,Bronx,Bronx 206.01,827,153,420,177
 New York,211,Bronx,Bronx 211,1856,196,1092,473
 New York,212,Bronx,Bronx 212,2147,82,1588,415
 New York,216.01,Bronx,Bronx 216.01,1655,112,1049,381
 New York,256,Bronx,Bronx 256,622,43,433,39
 New York,227.03,Bronx,Bronx 227.03,587,19,454,108
 New York,237.02,Bronx,Bronx 237.02,331,30,166,129
 New York,240,Bronx,Bronx 240,1284,98,879,269
 New York,263,Bronx,Bronx 263,2382,315,1436,502
 New York,265,Bronx,Bronx 265,2148,287,1319,426
 New York,281,Bronx,Bronx 281,1711,193,1269,204
 New York,283,Bronx,Bronx 283,1094,137,607,278
 New York,314,Bronx,Bronx 314,646,76,437,100
 New York,328,Bronx,Bronx 328,1429,225,719,390
 New York,374,Bronx,Bronx 374,1544,152,738,493
 New York,382,Bronx,Bronx 382,923,35,658,134
 New York,386,Bronx,Bronx 386,2682,30,1837,583
 New York,4,Bronx,Bronx 4,1963,87,1521,243
 New York,2,Bronx,Bronx 2,1328,80,975,185
 New York,35,Bronx,Bronx 35,1293,152,730,334
 New York,40.01,Bronx,Bronx 40.01,484,25,355,62
 New York,43,Bronx,Bronx 43,2111,142,1225,615
 New York,52,Bronx,Bronx 52,834,60,422,319
 New York,390,Bronx,Bronx 390,978,78,623,209
 New York,393,Bronx,Bronx 393,3245,212,1578,977
 New York,403.02,Bronx,Bronx 403.02,1445,211,841,324
 New York,404,Bronx,Bronx 404,1090,82,631,220
 New York,407.01,Bronx,Bronx 407.01,1223,164,660,286
 New York,415,Bronx,Bronx 415,2330,243,1431,388
 New York,436,Bronx,Bronx 436,717,122,472,94
 New York,389,Bronx,Bronx 389,1667,187,911,374
 New York,448,Bronx,Bronx 448,645,120,435,56
 New York,516,Bronx,Bronx 516,1777,129,1298,291
 New York,392,Bronx,Bronx 392,638,57,396,123
 New York,391,Bronx,Bronx 391,2447,251,1537,449
 New York,394,Bronx,Bronx 394,1682,94,1080,384
 New York,398,Bronx,Bronx 398,1065,22,770,197
 New York,414,Bronx,Bronx 414,1696,232,1005,228
 New York,418,Bronx,Bronx 418,1271,123,677,327
 New York,422,Bronx,Bronx 422,1103,49,799,201
 New York,430,Bronx,Bronx 430,1012,105,686,126
 New York,431,Bronx,Bronx 431,3549,276,2031,1019
 New York,449.01,Bronx,Bronx 449.01,823,51,560,146
 New York,462.01,Bronx,Bronx 462.01,12827,593,8630,2785
 New York,462.02,Bronx,Bronx 462.02,2705,136,1747,481
 New York,225,Bronx,Bronx 225,2328,219,1487,567
 New York,228,Bronx,Bronx 228,2332,284,1309,449
 New York,232,Bronx,Bronx 232,809,107,457,192
 New York,46,Bronx,Bronx 46,706,51,526,106
 New York,60,Bronx,Bronx 60,385,34,294,57
 New York,70,Bronx,Bronx 70,1296,24,965,221
 New York,73,Bronx,Bronx 73,1428,54,728,561
 New York,74,Bronx,Bronx 74,1326,39,912,289
 New York,75,Bronx,Bronx 75,2296,126,1438,666
 New York,77,Bronx,Bronx 77,605,79,352,129
 New York,92,Bronx,Bronx 92,1833,168,1317,231
 New York,127.01,Bronx,Bronx 127.01,723,24,354,269
 New York,135,Bronx,Bronx 135,1415,108,722,520
 New York,138,Bronx,Bronx 138,1070,53,794,143
 New York,161,Bronx,Bronx 161,1752,82,1033,581
 New York,171,Bronx,Bronx 171,0,0,0,0
 New York,195,Bronx,Bronx 195,2686,337,1478,634
 New York,229.02,Bronx,Bronx 229.02,1105,153,561,314
 New York,233.02,Bronx,Bronx 233.02,988,150,611,185
 New York,244,Bronx,Bronx 244,805,138,486,149
 New York,269,Bronx,Bronx 269,1352,152,922,218
 New York,273,Bronx,Bronx 273,2684,410,1827,355
 New York,295,Bronx,Bronx 295,2002,122,1547,270
 New York,297,Bronx,Bronx 297,1663,155,1246,237
 New York,310,Bronx,Bronx 310,1261,158,991,95
 New York,316,Bronx,Bronx 316,639,90,458,66
 New York,318,Bronx,Bronx 318,576,54,407,82
 New York,323,Bronx,Bronx 323,2398,121,1814,269
 New York,324,Bronx,Bronx 324,1258,77,814,230
 New York,334,Bronx,Bronx 334,19,0,15,0
 New York,363,Bronx,Bronx 363,2538,171,1389,858
 New York,379,Bronx,Bronx 379,1480,212,743,455
 New York,369.02,Bronx,Bronx 369.02,747,61,428,212
 New York,373,Bronx,Bronx 373,1901,190,908,697
 New York,378,Bronx,Bronx 378,1065,94,548,310
 New York,387,Bronx,Bronx 387,1197,123,752,204
 New York,396,Bronx,Bronx 396,1364,140,710,412
 New York,401,Bronx,Bronx 401,1510,320,720,349
 New York,406,Bronx,Bronx 406,1188,109,651,339
 New York,423,Bronx,Bronx 423,1368,147,874,287
 New York,425,Bronx,Bronx 425,2130,257,1249,387
 New York,429.01,Bronx,Bronx 429.01,1240,137,717,280
 New York,442,Bronx,Bronx 442,1318,167,696,250
 New York,504,Bronx,Bronx 504,54,6,41,7
 New York,451.02,Bronx,Bronx 451.02,838,129,513,171
 New York,345,Bronx,Bronx 345,1366,113,962,250
 New York,356,Bronx,Bronx 356,711,85,494,101
 New York,359,Bronx,Bronx 359,710,33,478,165
 New York,368,Bronx,Bronx 368,600,40,370,167
 New York,64,Bronx,Bronx 64,1337,94,708,401
 New York,78,Bronx,Bronx 78,2117,115,1450,335
 New York,85,Bronx,Bronx 85,1933,105,1288,499
 New York,131,Bronx,Bronx 131,1668,191,933,393
 New York,164,Bronx,Bronx 164,433,36,285,89
 New York,184,Bronx,Bronx 184,1554,133,1116,223
 New York,193,Bronx,Bronx 193,2159,163,924,714
 New York,213.02,Bronx,Bronx 213.02,2017,162,1207,489
 New York,216.02,Bronx,Bronx 216.02,2429,210,1794,309
 New York,219,Bronx,Bronx 219,398,55,189,144
 New York,372,Bronx,Bronx 372,766,39,547,120
 New York,399.02,Bronx,Bronx 399.02,1768,308,955,295
 New York,426,Bronx,Bronx 426,2011,292,1417,190
 New York,458,Bronx,Bronx 458,2034,187,1153,501
 New York,460,Bronx,Bronx 460,1069,61,561,359
 New York,239,Bronx,Bronx 239,2510,449,1219,689
 New York,241,Bronx,Bronx 241,1958,269,1224,415
 New York,266.01,Bronx,Bronx 266.01,1386,65,980,189
 New York,284,Bronx,Bronx 284,21,0,17,4
 New York,287,Bronx,Bronx 287,1242,143,836,201
 New York,288,Bronx,Bronx 288,1133,90,836,180
 New York,351,Bronx,Bronx 351,1169,69,841,166
 New York,367,Bronx,Bronx 367,619,39,378,187
 New York,399.01,Bronx,Bronx 399.01,1705,167,1067,326
 New York,381,Bronx,Bronx 381,2289,292,1150,663
 New York,388,Bronx,Bronx 388,869,48,499,276
 New York,397,Bronx,Bronx 397,544,124,252,148
 New York,409,Bronx,Bronx 409,1409,52,1148,194
 New York,420,Bronx,Bronx 420,1483,165,665,397
 New York,424,Bronx,Bronx 424,844,114,543,143
 New York,435,Bronx,Bronx 435,144,6,91,47
 New York,428,Bronx,Bronx 428,716,41,522,111
 New York,411,Bronx,Bronx 411,1208,136,675,270
 New York,413,Bronx,Bronx 413,2929,262,2132,325
 New York,419,Bronx,Bronx 419,2470,337,1540,358
 New York,233.01,Bronx,Bronx 233.01,1545,218,903,371
 New York,235.02,Bronx,Bronx 235.02,1669,51,837,554
 New York,335,Bronx,Bronx 335,676,30,559,65
 New York,337,Bronx,Bronx 337,867,91,649,90
 New York,348,Bronx,Bronx 348,2066,171,1351,315
 New York,360,Bronx,Bronx 360,926,44,657,177
 New York,375.04,Bronx,Bronx 375.04,1276,133,641,352
 New York,383.01,Bronx,Bronx 383.01,1566,125,976,376
 New York,383.02,Bronx,Bronx 383.02,1975,255,1088,400
 New York,395,Bronx,Bronx 395,1567,131,803,493
 New York,403.03,Bronx,Bronx 403.03,1541,197,958,248
 New York,403.04,Bronx,Bronx 403.04,1203,144,699,266
 New York,405.01,Bronx,Bronx 405.01,1332,195,770,258
 New York,456,Bronx,Bronx 456,1021,51,740,188
 New York,405.02,Bronx,Bronx 405.02,2265,507,1155,398
 New York,434,Bronx,Bronx 434,1257,165,692,205
 New York,444,Bronx,Bronx 444,1307,289,758,144
 New York,301,Bronx,Bronx 301,546,27,335,141
 New York,276,Bronx,Bronx 276,4,0,0,4
 New York,302,Bronx,Bronx 302,4155,348,2720,1004
 New York,342,Bronx,Bronx 342,563,65,338,121
 New York,370,Bronx,Bronx 370,793,54,524,181
 New York,27.02,Bronx,Bronx 27.02,1484,156,713,577
 New York,33,Bronx,Bronx 33,1198,81,629,427
 New York,19,Bronx,Bronx 19,929,64,740,101
 New York,42,Bronx,Bronx 42,2736,86,1992,611
 New York,50.01,Bronx,Bronx 50.01,1565,136,798,548
 New York,50.02,Bronx,Bronx 50.02,1871,211,905,514
 New York,51,Bronx,Bronx 51,2083,204,1152,645
 New York,53,Bronx,Bronx 53,1591,225,816,440
 New York,63,Bronx,Bronx 63,1891,110,1170,443
 New York,76,Bronx,Bronx 76,1670,132,1073,339
 New York,90,Bronx,Bronx 90,1197,34,728,319
 New York,93,Bronx,Bronx 93,1693,65,1054,532
 New York,96,Bronx,Bronx 96,774,64,482,143
 New York,117,Bronx,Bronx 117,545,48,354,123
 New York,147.01,Bronx,Bronx 147.01,1984,116,896,716
 New York,147.02,Bronx,Bronx 147.02,1659,72,1101,397
 New York,152,Bronx,Bronx 152,910,87,637,122
 New York,159,Bronx,Bronx 159,690,32,435,195
 New York,179.02,Bronx,Bronx 179.02,1160,58,748,301
 New York,177.01,Bronx,Bronx 177.01,1208,202,752,192
 New York,177.02,Bronx,Bronx 177.02,1718,177,1124,346
 New York,179.01,Bronx,Bronx 179.01,1673,141,1054,317
 New York,181.01,Bronx,Bronx 181.01,1045,149,649,143
 New York,181.02,Bronx,Bronx 181.02,1639,220,1071,222
 New York,183.01,Bronx,Bronx 183.01,1995,106,1099,750
 New York,183.02,Bronx,Bronx 183.02,1279,179,778,229
 New York,185,Bronx,Bronx 185,2871,173,1840,641
 New York,200,Bronx,Bronx 200,1428,101,1000,181
 New York,205.01,Bronx,Bronx 205.01,2822,260,1558,837
 New York,251,Bronx,Bronx 251,2156,186,1299,638
 New York,255,Bronx,Bronx 255,2291,335,1274,554
 New York,264,Bronx,Bronx 264,1908,113,1331,431
 New York,336,Bronx,Bronx 336,2638,281,1555,419
 New York,343,Bronx,Bronx 343,564,50,434,48
 New York,20,Bronx,Bronx 20,3151,211,2091,643
 New York,37,Bronx,Bronx 37,148,0,62,81
 New York,69,Bronx,Bronx 69,2739,134,1737,761
 New York,160,Bronx,Bronx 160,1561,83,1241,105
 New York,215.01,Bronx,Bronx 215.01,1389,144,858,297
 New York,162,Bronx,Bronx 162,576,46,413,72
 New York,165,Bronx,Bronx 165,341,45,226,47
 New York,175,Bronx,Bronx 175,2743,197,1232,874
 New York,215.02,Bronx,Bronx 215.02,2153,237,1223,518
 New York,230,Bronx,Bronx 230,948,158,499,223
 New York,253,Bronx,Bronx 253,2025,197,1332,376
 New York,261,Bronx,Bronx 261,1005,85,699,129
 New York,279,Bronx,Bronx 279,2644,220,2012,310
 New York,300,Bronx,Bronx 300,2602,114,1679,620
 New York,319,Bronx,Bronx 319,0,0,0,0
 New York,340,Bronx,Bronx 340,1818,220,973,370
 New York,344,Bronx,Bronx 344,635,71,444,96
 New York,350,Bronx,Bronx 350,654,55,386,95
 New York,361,Bronx,Bronx 361,2154,70,1198,783
 New York,365.01,Bronx,Bronx 365.01,1389,67,870,363
 New York,23,Bronx,Bronx 23,2000,170,902,863
 New York,39,Bronx,Bronx 39,2047,108,1067,751
 New York,54,Bronx,Bronx 54,1782,166,1047,516
 New York,62,Bronx,Bronx 62,2362,167,1356,784
 New York,68,Bronx,Bronx 68,1016,62,678,158
 New York,71,Bronx,Bronx 71,996,94,694,139
 New York,86,Bronx,Bronx 86,1466,164,693,439
 New York,87,Bronx,Bronx 87,2037,72,1427,454
 New York,110,Bronx,Bronx 110,0,0,0,0
 New York,129.01,Bronx,Bronx 129.01,1487,93,795,439
 New York,130,Bronx,Bronx 130,463,32,395,19
 New York,369.01,Bronx,Bronx 369.01,823,53,447,240
 New York,56,Bronx,Bronx 56,872,59,501,295
 New York,205.02,Bronx,Bronx 205.02,910,83,499,293
 New York,209,Bronx,Bronx 209,1709,299,892,417
 New York,210.01,Bronx,Bronx 210.01,3943,250,2841,586
 New York,210.02,Bronx,Bronx 210.02,3182,193,2669,299
 New York,217,Bronx,Bronx 217,1679,126,1031,502
 New York,221.01,Bronx,Bronx 221.01,1261,102,852,281
 New York,221.02,Bronx,Bronx 221.02,1689,249,821,565
 New York,222,Bronx,Bronx 222,1140,187,709,158
 New York,224.03,Bronx,Bronx 224.03,1341,255,769,264
 New York,224.04,Bronx,Bronx 224.04,1833,352,1004,383
 New York,237.03,Bronx,Bronx 237.03,1594,169,975,390
 New York,237.04,Bronx,Bronx 237.04,1325,206,789,293
 New York,238,Bronx,Bronx 238,803,125,488,114
 New York,245.01,Bronx,Bronx 245.01,1476,136,854,437
 New York,245.02,Bronx,Bronx 245.02,1202,211,635,294
 New York,267.01,Bronx,Bronx 267.01,1319,128,1024,99
 New York,267.02,Bronx,Bronx 267.02,2541,344,1487,491
 New York,274.01,Bronx,Bronx 274.01,1729,94,1356,263
 New York,274.02,Bronx,Bronx 274.02,1332,155,985,172
 New York,293.01,Bronx,Bronx 293.01,894,27,761,45
 New York,293.02,Bronx,Bronx 293.02,2724,142,2248,201
 New York,332.01,Bronx,Bronx 332.01,2231,321,1382,451
 New York,307.01,Bronx,Bronx 307.01,2514,87,2086,226
 New York,309,Bronx,Bronx 309,1297,72,950,233
 New York,326,Bronx,Bronx 326,1063,85,732,204
 New York,332.02,Bronx,Bronx 332.02,1634,157,974,392
 New York,295,Brooklyn,Brooklyn 295,1713,135,1238,224
 New York,307,Brooklyn,Brooklyn 307,2352,210,1241,729
 New York,309,Brooklyn,Brooklyn 309,742,52,482,165
 New York,317.02,Brooklyn,Brooklyn 317.02,1449,73,1100,212
 New York,327,Brooklyn,Brooklyn 327,1288,61,828,251
 New York,336,Brooklyn,Brooklyn 336,1556,92,1165,198
 New York,340,Brooklyn,Brooklyn 340,646,22,343,192
 New York,343,Brooklyn,Brooklyn 343,2047,195,1327,493
 New York,388,Brooklyn,Brooklyn 388,1546,115,1194,170
 New York,395,Brooklyn,Brooklyn 395,1250,200,676,321
 New York,399,Brooklyn,Brooklyn 399,1393,286,605,367
 New York,402,Brooklyn,Brooklyn 402,940,66,638,187
 New York,409,Brooklyn,Brooklyn 409,1314,243,789,202
 New York,416,Brooklyn,Brooklyn 416,698,73,441,159
 New York,400,Brooklyn,Brooklyn 400,1128,76,828,199
 New York,423,Brooklyn,Brooklyn 423,1366,144,926,181
 New York,424,Brooklyn,Brooklyn 424,1231,146,773,296
 New York,442,Brooklyn,Brooklyn 442,885,75,564,179
 New York,452,Brooklyn,Brooklyn 452,839,85,559,120
 New York,462.02,Brooklyn,Brooklyn 462.02,598,24,410,136
 New York,478,Brooklyn,Brooklyn 478,1070,110,313,533
 New York,480,Brooklyn,Brooklyn 480,1060,139,581,237
 New York,481,Brooklyn,Brooklyn 481,1388,53,1032,239
 New York,506,Brooklyn,Brooklyn 506,2023,227,1313,416
 New York,517,Brooklyn,Brooklyn 517,1435,51,1230,107
 New York,518,Brooklyn,Brooklyn 518,1394,38,976,285
 New York,520,Brooklyn,Brooklyn 520,1421,83,1027,203
 New York,532,Brooklyn,Brooklyn 532,991,92,643,177
 New York,546,Brooklyn,Brooklyn 546,1821,139,1344,285
 New York,142,Brooklyn,Brooklyn 142,1269,176,921,137
 New York,437,Brooklyn,Brooklyn 437,1820,186,1080,435
 New York,439,Brooklyn,Brooklyn 439,1290,168,600,369
 New York,441,Brooklyn,Brooklyn 441,1891,333,996,472
 New York,444,Brooklyn,Brooklyn 444,1194,160,576,381
 New York,454,Brooklyn,Brooklyn 454,546,48,370,122
 New York,462.01,Brooklyn,Brooklyn 462.01,1055,38,550,408
 New York,464,Brooklyn,Brooklyn 464,625,86,301,213
 New York,500,Brooklyn,Brooklyn 500,1437,51,1196,148
 New York,772,Brooklyn,Brooklyn 772,1235,101,946,158
 New York,756,Brooklyn,Brooklyn 756,689,11,591,61
 New York,722,Brooklyn,Brooklyn 722,965,53,759,115
 New York,734,Brooklyn,Brooklyn 734,570,0,518,31
 New York,744,Brooklyn,Brooklyn 744,641,14,580,21
 New York,786,Brooklyn,Brooklyn 786,1868,88,1358,394
 New York,824,Brooklyn,Brooklyn 824,1586,124,1070,358
 New York,838,Brooklyn,Brooklyn 838,820,35,573,153
 New York,650,Brooklyn,Brooklyn 650,502,42,381,74
 New York,588,Brooklyn,Brooklyn 588,1400,23,1147,213
 New York,593,Brooklyn,Brooklyn 593,891,121,648,116
 New York,640,Brooklyn,Brooklyn 640,558,28,437,82
 New York,688,Brooklyn,Brooklyn 688,583,14,468,73
 New York,752,Brooklyn,Brooklyn 752,316,37,233,34
 New York,764,Brooklyn,Brooklyn 764,1412,82,993,197
 New York,774,Brooklyn,Brooklyn 774,1256,95,1039,122
 New York,782,Brooklyn,Brooklyn 782,1674,109,1259,251
 New York,790,Brooklyn,Brooklyn 790,1801,159,1021,495
 New York,792,Brooklyn,Brooklyn 792,1245,69,729,377
 New York,794,Brooklyn,Brooklyn 794,573,64,303,181
 New York,836,Brooklyn,Brooklyn 836,729,41,513,156
 New York,858,Brooklyn,Brooklyn 858,875,49,590,179
 New York,862,Brooklyn,Brooklyn 862,1114,98,663,288
 New York,880,Brooklyn,Brooklyn 880,1153,27,846,182
 New York,938,Brooklyn,Brooklyn 938,907,48,643,194
 New York,898,Brooklyn,Brooklyn 898,647,70,421,127
 New York,918,Brooklyn,Brooklyn 918,1013,84,655,204
 New York,920,Brooklyn,Brooklyn 920,1156,82,742,290
 New York,982,Brooklyn,Brooklyn 982,1725,204,927,450
 New York,944.01,Brooklyn,Brooklyn 944.01,1176,52,868,208
 New York,966,Brooklyn,Brooklyn 966,797,48,564,158
 New York,1008,Brooklyn,Brooklyn 1008,691,26,539,85
 New York,1164,Brooklyn,Brooklyn 1164,1033,66,691,252
 New York,1168,Brooklyn,Brooklyn 1168,634,67,476,91
 New York,1182.02,Brooklyn,Brooklyn 1182.02,884,53,764,53
 New York,1190,Brooklyn,Brooklyn 1190,693,21,454,191
 New York,1196,Brooklyn,Brooklyn 1196,1754,103,1127,445
 New York,1202,Brooklyn,Brooklyn 1202,575,0,482,84
 New York,397,Brooklyn,Brooklyn 397,1296,189,631,338
 New York,398,Brooklyn,Brooklyn 398,867,55,609,151
 New York,405,Brooklyn,Brooklyn 405,620,73,329,116
 New York,407,Brooklyn,Brooklyn 407,0,0,0,0
 New York,410,Brooklyn,Brooklyn 410,727,16,578,115
 New York,426,Brooklyn,Brooklyn 426,1513,197,1112,162
 New York,169,Brooklyn,Brooklyn 169,2134,41,1792,301
 New York,364,Brooklyn,Brooklyn 364,865,75,594,173
 New York,373,Brooklyn,Brooklyn 373,1646,95,1010,482
 New York,80,Brooklyn,Brooklyn 80,1207,39,720,410
 New York,88,Brooklyn,Brooklyn 88,1151,68,842,241
 New York,92,Brooklyn,Brooklyn 92,1698,247,1185,194
 New York,98,Brooklyn,Brooklyn 98,1697,35,1129,463
 New York,101,Brooklyn,Brooklyn 101,1417,165,932,216
 New York,128.01,Brooklyn,Brooklyn 128.01,754,47,556,118
 New York,131,Brooklyn,Brooklyn 131,1823,93,1544,116
 New York,135,Brooklyn,Brooklyn 135,1486,10,1272,138
 New York,140,Brooklyn,Brooklyn 140,801,15,631,127
 New York,141,Brooklyn,Brooklyn 141,1359,63,1165,41
 New York,177,Brooklyn,Brooklyn 177,0,0,0,0
 New York,181,Brooklyn,Brooklyn 181,1974,69,1631,233
 New York,186,Brooklyn,Brooklyn 186,734,45,553,98
 New York,193,Brooklyn,Brooklyn 193,2274,134,1586,354
 New York,354,Brooklyn,Brooklyn 354,2675,210,1840,538
 New York,874.01,Brooklyn,Brooklyn 874.01,1392,134,692,498
 New York,884,Brooklyn,Brooklyn 884,1829,173,1090,409
 New York,896,Brooklyn,Brooklyn 896,1564,165,788,545
 New York,908,Brooklyn,Brooklyn 908,1218,71,831,287
 New York,934,Brooklyn,Brooklyn 934,955,79,682,159
 New York,954,Brooklyn,Brooklyn 954,1463,46,1133,246
 New York,968,Brooklyn,Brooklyn 968,418,0,330,73
 New York,970,Brooklyn,Brooklyn 970,766,75,578,98
 New York,994,Brooklyn,Brooklyn 994,679,41,549,78
 New York,1004,Brooklyn,Brooklyn 1004,980,48,736,159
 New York,201,Brooklyn,Brooklyn 201,1713,90,1481,79
 New York,1180,Brooklyn,Brooklyn 1180,0,0,0,0
 New York,1210,Brooklyn,Brooklyn 1210,1549,60,1017,463
 New York,197,Brooklyn,Brooklyn 197,1692,54,1290,262
 New York,215,Brooklyn,Brooklyn 215,2453,76,2084,175
 New York,272,Brooklyn,Brooklyn 272,1145,128,745,192
 New York,355,Brooklyn,Brooklyn 355,2038,213,1143,531
 New York,365.02,Brooklyn,Brooklyn 365.02,438,50,266,98
 New York,393,Brooklyn,Brooklyn 393,1466,225,764,382
 New York,1174,Brooklyn,Brooklyn 1174,1183,69,994,72
 New York,1176.02,Brooklyn,Brooklyn 1176.02,1013,75,609,278
 New York,1220,Brooklyn,Brooklyn 1220,2114,115,1521,404
 New York,313,Brooklyn,Brooklyn 313,2297,290,1413,430
 New York,1014,Brooklyn,Brooklyn 1014,790,22,695,43
 New York,1118,Brooklyn,Brooklyn 1118,1127,34,841,220
 New York,1158,Brooklyn,Brooklyn 1158,953,146,488,274
 New York,403,Brooklyn,Brooklyn 403,1299,102,790,288
 New York,428,Brooklyn,Brooklyn 428,1503,62,1032,307
 New York,470,Brooklyn,Brooklyn 470,677,33,347,244
 New York,198,Brooklyn,Brooklyn 198,604,45,431,100
 New York,297,Brooklyn,Brooklyn 297,1688,98,1207,261
 New York,335,Brooklyn,Brooklyn 335,802,63,592,104
 New York,391,Brooklyn,Brooklyn 391,1124,64,795,205
 New York,868,Brooklyn,Brooklyn 868,1228,57,743,376
 New York,916,Brooklyn,Brooklyn 916,1615,173,888,395
 New York,1012,Brooklyn,Brooklyn 1012,815,40,590,162
 New York,72,Brooklyn,Brooklyn 72,592,23,380,107
 New York,100,Brooklyn,Brooklyn 100,1643,42,1209,249
 New York,138,Brooklyn,Brooklyn 138,1218,159,837,182
